,Year,Term Number,Department,Course Number,Number of Sections,Enrollments,Median GPA Points,Average Section Size
1450,2022.0,2.0,,11.0,1.0,29.0,4.0,29.0
1451,2022.0,2.0,PSYC,22.0,1.0,69.0,4.0,69.0
1452,2022.0,2.0,,25.0,1.0,21.0,,21.0
1453,,2.0,PSYC,28.0,1.0,95.0,4.0,95.0
1454,2022.0,2.0,PSYC,36.0,,26.0,3.6666666666666665,26.0
1455,2022.0,2.0,PSYC,43.0,1.0,49.0,4.0,49.0
1456,2022.0,2.0,,7.02,1.0,16.0,,16.0
1457,2022.0,2.0,PSYC,51.09,1.0,28.0,3.6666666666666665,28.0
1458,2022.0,2.0,PSYC,52.06,1.0,10.0,3.8333333333333335,10.0
1459,2022.0,,PSYC,53.14,1.0,30.0,4.0,30.0
1460,2022.0,2.0,PSYC,,1.0,33.0,4.0,33.0
1461,2022.0,2.0,PSYC,54.05,,31.0,,31.0
1462,2022.0,2.0,PSYC,,1.0,16.0,4.0,16.0
1463,2022.0,2.0,PSYC,84.05,,14.0,4.0,
1464,2022.0,2.0,PSYC,86.05,1.0,13.0,4.0,13.0
1465,2022.0,2.0,QSS,17.0,2.0,48.0,3.333333333333333,24.0
1466,2022.0,2.0,,41.0,1.0,19.0,3.666666666666666,19.0
1467,2022.0,2.0,,82.0,1.0,11.0,4.0,11.0
1468,2022.0,2.0,QSS,30.03,1.0,14.0,3.6666666666666665,14.0
1469,,2.0,QSS,30.04,2.0,,4.0,53.0
1470,2022.0,,REL,5.0,1.0,58.0,3.6666666666666665,58.0
1471,2022.0,2.0,REL,1.09,1.0,57.0,3.6666666666666665,57.0
1472,,2.0,REL,37.0,1.0,11.0,4.0,11.0
1473,2022.0,2.0,REL,43.0,,26.0,3.6666666666666665,26.0
1474,2022.0,2.0,REL,19.22,,34.0,4.0,34.0
1475,2022.0,,,,,56.0,3.6666666666666665,56.0
1476,2022.0,2.0,REL,21.03,1.0,29.0,4.0,29.0
1477,2022.0,2.0,REL,28.04,1.0,13.0,3.6666666666666665,13.0
1478,2022.0,2.0,REL,28.06,1.0,10.0,4.0,10.0
1479,2022.0,2.0,REL,41.07,1.0,27.0,4.0,27.0
